OriginalOrder,BuildingID,Use,BuildingName,Occupancy,LandscapeArea,ConditionedArea,RooftopArea,EnergyBase,OldEnergyBase,JobsBase,OpCostEnergyBase,OpCostWaterBase,ExpenditureFoodBase,OpCostBase,FoodPercentageBase,WaterBase,CO2EnergyBase,CO2WaterBase,CO2FoodBase,CO2EmissionsBase,EnergyHighPerformance,JobsHighPerformance,OpCostEnergyHP,OpCostWaterHP,OpCostFoodHP,OpCostHP,InvestmentCostHP,WaterHighPerformance,CO2EnergyHP,CO2WaterHP,CO2FoodHP,CO2EmissionsHighPerformance,EnergyWaterEfficient,JobsWaterEfficient,OpCostEnergyWaterEfficient,OpCostWaterWaterEfficient,OpCostFoodWaterEfficient,OpCostWaterEfficient,InvestmentCostWaterEfficient,WaterWaterEfficient,CO2EnergyWaterEfficient,CO2WaterWaterEfficient,CO2FoodWaterEfficient,CO2EmissionsWaterEfficient,EnergyGreenery,JobsGreenery,OpCostEnergyGreenery,OpCostWaterGreenery,OpCostFoodGreenery,OpCostGreenery,InvestmentCostGreenery,WaterGreenery,CO2EnergyGreenery,CO2WaterGreenery,CO2FoodGreenery,CO2EmissionsGreenery,EnergyPVPanels,JobsPVPanels,OpCostEnergyPVPanels,OpCostWaterPVPanels,OpCostFoodPVPanels,OpCostPVPanels,InvestmentCostPVPanels,CO2EnergyPV,CO2WaterPV,CO2FoodPV,CO2EmissionsPVPanels,EnergyGreenhouse,JobsGreenhouse,OpCostEnergyGreenhouse,OpCostWaterGreenhouse,OpCostFoodGreenhouse,OpCostGreenhouse,InvestmentCostGreenhouse,FoodPercentageGreenhouse100,WaterGreenhouse100,CO2EnergyGreenhouse,CO2WaterGreenhouse,CO2FoodGreenhouse,CO2EmissionsGreenhouse
1,00b962ce-0019-45e5-984f-d5e183eb96f9,Commercial,C382_1_1,117,777.9872625,2347.1758,586.79395,596440.4029,594674.3718,0,118542.5301,28885.73,17331.06,164759.3239,0,4209213.85,451505.385,52545.65,21926.62,525977.6534,-104841.6718,0.1937906417,-20837.28227,0,0,-20837.28227,216611.5509,0,-79365.14555,0,0,-79365.14555,-30160.17862,0,-5994.335501,-5348.171209,0,-11342.50671,3432.744608,-779332.7809,-22831.25522,0,0,-22831.25522,-494.488704,0,-79.73630353,-4310.027147,0,-4389.76345,34231.43955,-628054.9576,-60.36038177,0,0,-60.36038177,-113544.6293,0.058679395,-22566.99508,0,0,-22566.99508,11552505.89,-85953.2844,0,0,-85953.2844,81857.75603,0.1980429581,13199.56316,5248.295339,0,158024.9046,423811.9304,0.11686818670,841022.4288,61966.32131,0,-55540.04737,6426.273943
2,01537da2-f52b-46d4-a559-fad78b253530,Commercial,C345_1_1,45,420.91827,916.87245,305.62415,233871.0851,232915.6006,0,46481.87816,13776.87,6665.79,66924.54565,0,2007559.015,177040.4114,20525.80,8433.32,205999.5253,-42640.0006,0.1048926566,-8474.700119,0,0,-8474.700119,98348.0275,0,-32278.48045,0,0,-32278.48045,-11781.40848,0,-2341.554935,-2089.145108,0,-4430.700042,1340.925958,-304429.1596,-8918.526216,0,0,-8918.526216,-267.5356524,0,-43.14012395,-2331.875158,0,-2375.015281,18520.40388,-339799.6587,-32.65707383,0,0,-32.65707383,-59138.27303,0.030562415,-11753.73176,0,0,-11753.73176,6016975.453,-44767.67268,0,0,-44767.67268,42634.56893,0.1031481506,6874.824239,2733.507736,0,82305.25749,220737.0423,0.06086930552,438035.813,32274.36868,0,-28927.3258,3347.042879
3,02de1dd2-f8cf-40cd-9aa3-86abb24072ae,Commercial,C254_1_1,624,0,12493.42029,12493.42029,2964595.629,2964595.629,0,589213.3813,65516.10,92432.34,747161.8169,0,9546972.049,2244198.891,279687.14,116941.97,2640827.998,-453994.629,0.2235479393,-90231.43251,0,0,-90231.43251,1785208.851,0,-343673.9342,0,0,-343673.9342,-160534.9661,0,-31906.32452,-28466.9562,0,-60373.28072,18271.62717,-4148190.339,-121524.9693,0,0,-121524.9693,0,0,0,0,0,0,0,0,0,0,0,0,-2417476.826,1.249342029,-480473.5192,0,0,-480473.5192,245964212,-1830029.957,0,0,-1830029.957,1742832.13,4.216529348,281031.681,111741.3693,0,3364505.632,9023372.804,2.48823863128,17906194.63,1319323.923,0,-1182502.23,136821.6923
4,04474f41-5ea2-4a21-8875-90bafb42e255,Commercial,C261_1_1,35,216.54843,705.89539,705.89539,176415.1604,175923.5955,0,35062.51314,8315.87,5184.51,48562.89215,0,1211784.738,133546.2765,15802.71,6559.25,155908.2286,-30101.2955,0.05313738383,-5982.632481,0,0,-5982.632481,110577.7374,0,-22786.68069,0,0,-22786.68069,-9070.445873,0,-1802.751117,-1608.422088,0,-3411.173205,1032.372008,-234378.4463,-6866.327526,0,0,-6866.327526,-137.6381821,0,-22.19415686,-1199.672099,0,-1221.866255,9528.13092,-174815.6064,-16.80097675,0,0,-16.80097675,-136590.758,0.070589539,-27147.41315,0,0,-27147.41315,13897315.49,-103399.2038,0,0,-103399.2038,98472.40691,0.2382396941,15878.67561,6313.540699,0,190099.185,509832.9454,0.14058889706,1011724.568,74543.61203,0,-66812.99866,7730.613364
5,04c9ffc6-67de-4b0c-976a-e277d4a6ea71,Commercial,C163_1_1,14,515.4023775,299.47144,299.47144,81879.76327,80709.79987,0,16273.60295,12552.42,2073.80,30899.82654,0,1829132.4,61982.98079,6704.19,2623.70,71310.87253,-15834.83987,0.03461048627,-3147.174424,0,0,-3147.174424,49804.86686,0,-11986.97378,0,0,-11986.97378,-3848.076536,0,-764.8052115,-682.362409,0,-1447.167621,437.976981,-99433.50222,-2912.993938,0,0,-2912.993938,-327.5897511,0,-52.82384737,-2855.314406,0,-2908.138254,22677.70461,-416074.959,-39.98765246,0,0,-39.98765246,-57947.72364,0.029947144,-11517.11007,0,0,-11517.11007,5895843.975,-43866.4268,0,0,-43866.4268,41776.26588,0.101071611,6736.422873,2678.477791,0,80648.31912,216293.2475,0.05964390765,429217.4414,31624.63327,0,-28344.9718,3279.661475
6,051ce8b7-d08c-4beb-967e-de906f7c5cc1,Commercial,C177_1_1,106,91.096725,2129.29797,709.76599,532440.4902,532233.7006,0,105822.5474,13107.19,15701.65,134631.3866,0,1909973.291,403057.4511,47668.07,19865.14,470590.6649,-92393.9006,0.1598486022,-18363.28774,0,0,-18363.28774,208320.672,0,-69942.18275,0,0,-69942.18275,-27360.54415,0,-5437.90815,-4851.724399,0,-10289.63255,3114.098281,-706990.805,-20711.93192,0,0,-20711.93192,-57.90107841,0,-9.336548894,-504.6732468,0,-514.0097957,4008.2559,-73540.72813,-7.067767512,0,0,-7.067767512,-137339.7191,0.070976599,-27296.26916,0,0,-27296.26916,13973517.93,-103966.1673,0,0,-103966.1673,99012.35561,0.2395460216,15965.74234,6348.159413,0,191141.5461,512628.4863,0.14135978095,1017272.105,74952.35319,0,-67179.35095,7773.002239
7,0621a0e8-8268-42fa-b1ca-f9b08f53e382,Commercial,C164_1_1,470,39.8180925,9402.80368,1175.35046,2332303.021,2332212.634,0,463545.2254,50157.18,69620.51,583322.919,0,7308878.85,1765553.387,210498.26,88081.29,2064132.939,-395194.634,0.5485341537,-78544.93351,0,0,-78544.93351,709533.9922,0,-299162.3379,0,0,-299162.3379,-120821.8995,0,-24013.35252,-21424.81357,0,-45438.16608,13751.60038,-3122012.906,-91462.17789,0,0,-91462.17789,-25.30837959,0,-4.080976209,-220.5910918,0,-224.672068,1751.99607,-32144.42139,-3.08929899,0,0,-3.08929899,-227430.314,0.117535046,-45201.77491,0,0,-45201.77491,23139712.18,-172164.7477,0,0,-172164.7477,163961.3892,0.3966807803,26438.774,10512.35505,0,316524.4705,848896.8697,0.23408741177,1684571.047,124118.7716,0,-111246.921,12871.85056
8,06424bf6-5688-4a4c-a248-2dc4c83cb436,Commercial,C186_1_1,1811,105.6875475,36220.34129,5174.33447,8686542.57,8686302.659,0,1726450.336,192193.15,268261.17,2186904.656,0,28006288.44,6575712.725,810855.90,339394.08,7725962.707,-1371916.659,1.007059857,-272668.436,0,0,-272668.436,2525057.803,0,-1038540.911,0,0,-1038540.911,-465415.4848,0,-92501.32761,-82530.07144,0,-175031.3991,52972.24914,-12026239.92,-352319.522,0,0,-352319.522,-67.17500519,0,-10.83196959,-585.5059855,0,-596.3379551,4650.25209,-85319.63358,-8.199800977,0,0,-8.199800977,-1001233.72,0.517433447,-198995.2018,0,0,-198995.2018,101869709.9,-757933.926,0,0,-757933.926,721819.6586,1.746337884,116393.4199,46279.33789,0,1393459.682,3737163.071,1.03054076631,7416114.879,546417.4815,0,-489750.7576,56666.72395
9,06c77c78-d2ba-4f6a-8a06-78d2d8752f89,Commercial,C144_1_1,17,0,344.11084,344.11084,89015.01258,89015.01258,0,17691.73375,1804.53,2518.19,22014.45626,0,262955.7395,67384.36452,7703.53,3185.92,78273.80857,-16325.33258,0.03710044959,-3244.65985,0,0,-3244.65985,56588.92658,0,-12358.27676,0,0,-12358.27676,-4421.673229,0,-878.8075543,-784.0757761,0,-1662.88333,503.2621035,-114255.1222,-3347.206635,0,0,-3347.206635,0,0,0,0,0,0,0,0,0,0,0,0,-66585.44754,0.034411084,-13233.8577,0,0,-13233.8577,6774682.162,-50405.18379,0,0,-50405.18379,48003.46218,0.1161374085,7740.558277,3077.733364,0,92669.80797,248534.0542,0.06853446580,493196.8614,36338.62087,0,-32570.09101,3768.529864
10,06c8290c-536a-4426-9f02-319f392ff5b0,Commercial,C24_1_1,33,50.684715,663.16467,663.16467,168325.0201,168209.9658,0,33454.59775,4557.64,4888.25,42900.48258,0,664136.4064,127422.0402,14846.10,6184.43,148452.5762,-29782.2658,0.05150396761,-5919.225328,0,0,-5919.225328,104263.5721,0,-22545.17521,0,0,-22545.17521,-8521.37488,0,-1693.623257,-1511.057755,0,-3204.681012,969.8783299,-220190.5654,-6450.680784,0,0,-6450.680784,-32.21520485,0,-5.194701783,-280.7918691,0,-285.9865709,2230.12746,-40916.84796,-3.93238925,0,0,-3.93238925,-128322.3636,0.066316467,-25504.06977,0,0,-25504.06977,13056054.44,-97140.02928,0,0,-97140.02928,92511.47147,0.2238180761,14917.47477,5931.356393,0,178591.7079,478970.6829,0.13207847911,950480.7633,70031.1839,0,-62768.53602,7262.647884
